,test SPEAR score,whole SPEAR score,test ERROR score,train ERROR score
0,"SpearmanrResult(correlation=0.03773827300405691, pvalue=0.0856050766258364)","SpearmanrResult(correlation=0.011578072501830216, pvalue=0.1322326449834417)",0.24134252965450287,0.1490042358636856
1,"SpearmanrResult(correlation=0.12828293395046733, pvalue=4.472326211816408e-09)","SpearmanrResult(correlation=0.13606236503416788, pvalue=1.1513378823702672e-70)",0.23783230781555176,0.10440799593925476
2,"SpearmanrResult(correlation=0.12694125211590182, pvalue=6.480863420523526e-09)","SpearmanrResult(correlation=0.19182330516504772, pvalue=7.772509126985135e-140)",0.14401306211948395,0.07936547696590424
3,"SpearmanrResult(correlation=0.1175912897261965, pvalue=7.732871925695421e-08)","SpearmanrResult(correlation=0.19852362204936239, pvalue=7.851871205489965e-150)",0.0835295096039772,0.05042071267962456
4,"SpearmanrResult(correlation=0.014025375791985407, pvalue=0.5230267471262509)","SpearmanrResult(correlation=0.23786664736599053, pvalue=4.1342401261585633e-216)",0.02662363275885582,0.029569555073976517
5,"SpearmanrResult(correlation=0.16089140578984834, pvalue=1.6509459458657137e-13)","SpearmanrResult(correlation=0.24757531260762025, pvalue=1.6435480970776746e-234)",0.01638798788189888,0.028105227276682854
6,"SpearmanrResult(correlation=0.05437534516407046, pvalue=0.013217571306954296)","SpearmanrResult(correlation=0.25971939130969446, pvalue=1.0604970483422363e-258)",0.020985903218388557,0.02633117325603962
7,"SpearmanrResult(correlation=0.14261066381811327, pvalue=6.698171750648447e-11)","SpearmanrResult(correlation=0.2447793441083919, pvalue=3.978884955326605e-229)",0.014913849532604218,0.025740861892700195
8,"SpearmanrResult(correlation=0.14176329919421757, pvalue=8.693529968696295e-11)","SpearmanrResult(correlation=0.2282969230081141, pvalue=8.919996081273786e-199)",0.018053382635116577,0.027662726119160652
9,"SpearmanrResult(correlation=0.0758031660917534, pvalue=0.0005467834668688344)","SpearmanrResult(correlation=0.2773493944910731, pvalue=3.4421824727187363e-296)",0.015403172001242638,0.026010040193796158
10,"SpearmanrResult(correlation=0.10772414839826798, pvalue=8.671407557079676e-07)","SpearmanrResult(correlation=0.22968648858247298, pvalue=3.037129187820526e-201)",0.017256807535886765,0.03233443945646286
11,"SpearmanrResult(correlation=0.18487135690443882, pvalue=2.039144285916822e-17)","SpearmanrResult(correlation=0.28586564268950443, pvalue=0.0)",0.014638323336839676,0.026391418650746346
12,"SpearmanrResult(correlation=0.20000681103915915, pvalue=3.560786929819679e-20)","SpearmanrResult(correlation=0.2656925697974823, pvalue=4.3815690340571205e-271)",0.01616809517145157,0.02710864320397377
13,"SpearmanrResult(correlation=0.11271687988069883, pvalue=2.6179704065105497e-07)","SpearmanrResult(correlation=0.30603501639311775, pvalue=0.0)",0.013380630873143673,0.02424464374780655
14,"SpearmanrResult(correlation=0.1193344195397833, pvalue=4.93952230931381e-08)","SpearmanrResult(correlation=0.29842728140837793, pvalue=0.0)",0.01437525637447834,0.026873482391238213
15,"SpearmanrResult(correlation=0.16237623775522828, pvalue=9.81535023188126e-14)","SpearmanrResult(correlation=0.2942455608642624, pvalue=0.0)",0.013610286638140678,0.0248677060008049
16,"SpearmanrResult(correlation=0.07336698615037338, pvalue=0.000821858660329241)","SpearmanrResult(correlation=0.28609921659654475, pvalue=0.0)",0.019461151212453842,0.025222815573215485
17,"SpearmanrResult(correlation=0.1212482393532517, pvalue=2.997557893678933e-08)","SpearmanrResult(correlation=0.3301147071681137, pvalue=0.0)",0.013108122162520885,0.02389555238187313
18,"SpearmanrResult(correlation=0.11020774375251163, pvalue=4.810356671649135e-07)","SpearmanrResult(correlation=0.32270703629513103, pvalue=0.0)",0.014353918842971325,0.02566891722381115
19,"SpearmanrResult(correlation=0.1126995432997564, pvalue=2.6291166977965225e-07)","SpearmanrResult(correlation=0.34559769694561443, pvalue=0.0)",0.013256439939141273,0.023491783067584038
