,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hela AUC score,hl60 AUC score
0,60.87701267557383,71.95734002509411,62.26927252985885,66.76367869615832,60.13855582200905,71.19617224880382,62.468513853904284,66.5474060822898,60.202878037272946,72.11497211497212,61.84694628403238,66.5874430580313,39.29427886262419,21.58273381294964,15.313463514902365,23.809523809523807,39.64828137490008,20.49027444710898,16.04050093258726,23.82094324540368,39.655579146025005,20.547298891247937,15.33380514272234,24.463316820004717,0.6115323658624728,0.6257152414034165,0.6244955062866211,0.46279159437054185,0.677356016635738,0.6461995826544321
1,63.800388260819915,73.08898471187769,67.48099891422366,70.17312758750471,62.7498001598721,71.65492957746478,68.34592779177162,69.96132359260852,62.491153573956126,71.77606177606177,68.39587932303164,70.04521477015825,42.58307639602604,21.217311864793878,15.678885463058126,20.52072627612196,43.37863042899014,19.371169730881963,17.15960564881428,20.090594191313617,43.85468270818589,18.63647086577023,17.244633168200046,20.26421325784383,0.6103181894487719,0.6375442997569832,0.6272897720336914,0.48736263736263735,0.6900779471183586,0.6838178543864163
2,67.71725476761448,72.97021276595744,77.57871878393051,75.2039294798702,65.62749800159871,70.93558282208589,77.66582703610412,74.14829659318639,67.61028544468036,71.47876077930374,82.33995584988962,76.52590186356642,48.95512161699212,18.762133150622358,18.134064177229643,14.148681055155876,49.29389821476152,16.333599786837198,20.197175592859047,14.175326405542233,52.795470629865534,14.814814814814813,21.06628921915546,11.323425336164188,0.6056770094807113,0.643086090192155,0.6236760020256042,0.48702525544630804,0.7079516589673733,0.6933224709144441
3,66.24414753911157,76.81552587646077,66.61237785016286,71.35103702267881,63.895550226485476,74.41749881122206,65.7010915197313,69.78818283166109,66.07690493040812,74.37166793602438,71.8543046357616,73.09131736526946,42.034943473792396,24.209204065319174,12.68699326253283,21.068859198355604,41.699973354649615,22.195576871835865,14.335198507860378,21.769251265654145,46.07218683651805,20.004718093890066,15.876385940080207,18.046709129511676,0.6562806749171157,0.6759031531255292,0.6168711185455322,0.49835164835164836,0.7260408852213054,0.7021839179029814
4,64.04019641429713,81.36711533386118,55.79080709373869,66.19431025228127,58.61977084998667,75.85776668746101,51.04953820319059,61.028858218318696,61.028544468034916,80.49199084668193,51.76600441501103,63.00940438871474,35.20612081763161,28.834075596665524,8.06212173118648,27.89768185451639,32.40074606981082,26.219024780175857,10.311750599520384,31.06847855049294,33.19179051663128,27.83675395140363,8.044350082566643,30.927105449398447,0.6763110178375927,0.6834716408241748,0.6066474318504333,0.48557933294775396,0.7398050170437347,0.7308549867078294
5,68.43667922804613,79.5464270432178,67.2819399203764,72.90196078431373,62.48334665600853,74.39879759519037,62.342569269521405,67.8391959798995,66.14767633875914,77.49678525503644,66.51949963208241,71.58978420114829,42.457462601347494,25.979216626698644,10.916980701153363,20.646340070800502,39.568345323741006,22.915001332267522,13.615774047428724,23.90087929656275,42.651568766218446,23.496107572540694,12.384996461429584,21.467327199811276,0.6924015463665658,0.7017685382404296,0.6062458753585815,0.49786003470213996,0.7304046406338427,0.723694365834834
6,69.20178143199726,78.80268784361637,70.03257328990227,74.15924116125323,62.85638156141753,73.2799245994345,65.28127623845508,69.04973357015986,67.20924746402453,75.57781201849,72.18543046357617,73.84267971396311,44.19321685508736,25.008564576909905,11.887632750942103,18.91058581706064,41.43351985078604,21.422861710631494,15.107913669064748,22.035704769517718,46.28450106157113,20.924746402453408,14.956357631516868,17.8343949044586,0.6880407191156044,0.6988475385041433,0.6110104918479919,0.48358395989974934,0.7449000407996735,0.7683160392190492
7,68.5508735868448,80.24879965080751,66.53999276149113,72.75425405619312,62.13695710098588,74.7552807831015,60.915197313182205,67.12930835068241,65.93536211370606,77.33905579399142,66.29874908020604,71.39461172741682,41.989265730272926,26.561607856571882,10.334589471280118,21.11453694187507,38.66240341060485,23.47455369038103,13.056221689315214,24.806821209698906,42.5100259495164,23.425336164189666,12.455767869780608,21.60887001651333,0.6995261095702596,0.7091712558342301,0.5969541668891907,0.49224021592442646,0.7530435240389045,0.7753337335277135
8,72.3878040424803,81.4574898785425,72.81939920376402,76.89661761895663,63.36264321875833,73.87387387387388,65.40722082283796,69.3832108661768,69.04930408115122,78.34677419354838,71.48638704930096,74.75952289342054,45.95180998058696,26.435994061893343,10.460203265958661,17.151992691561038,41.513455901945115,21.849187316813214,14.681588062883028,21.955768718358645,45.836282142014625,23.21302193913659,12.668082094833688,18.282613824015097,0.7161206198818696,0.7261154027977622,0.5873662233352661,0.5016483516483516,0.774986509785341,0.8002029557213505
9,73.11864793879182,82.02746365105008,73.50705754614549,77.53388051154802,62.98960831334932,72.97547431744563,66.2048698572628,69.42548976447281,67.61028544468036,79.20104211897525,67.10816777041943,72.6548496315475,46.38574854402193,26.7328993947699,10.163297933082106,16.71805412812607,42.01971755928591,20.969890754063417,15.560884625632825,21.449507061017854,43.02901627742392,24.58126916725643,11.299834866713848,21.0898796886058,0.708827095183013,0.7193829893912974,0.5848687291145325,0.5000289184499711,0.7642946920940762,0.8048051910928165
