,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score,loss,hek293 AUC score,hct116 AUC score,hl60 AUC score
0,65.25689740624485,65.49488054607508,97.93314621076806,78.49473361284385,63.77649325626204,64.0,98.1177899210686,77.46883988494726,64.06616467102828,64.18481848184818,96.08695652173913,76.96082311040759,63.40657525194119,1.8503221543036512,33.40492317858913,1.3381794151660333,62.273603082851636,1.5028901734104045,35.028901734104046,1.1946050096339114,60.01728181705962,4.048882853968646,33.489692630539444,2.4441426984322923,0.6194711797788588,0.5823845375216187,0.5904056429862976,0.49209562367457105,0.5577146388972131,0.6144698853728954
1,66.49595242028747,67.92417061611374,91.42638428170451,77.94213617576679,63.15992292870906,65.41722445336903,89.01032179720704,75.41152263374487,65.90544377237379,68.2670906200318,84.86166007905138,75.66519823788546,59.19378820419626,7.302164216091195,27.953081116801588,5.550966462910954,56.493256262042394,6.666666666666667,29.865125240847785,6.97495183044316,53.00580175287002,12.899642019503766,24.63893346500432,9.455622762621898,0.6444589620379192,0.6099115967573459,0.6304967999458313,0.4828320802005013,0.5983012436320048,0.6418260297858961
2,66.18205848339667,71.00538599640933,80.73488134728247,75.55820895522389,60.809248554913296,66.99029126213593,75.40983606557377,70.95115681233933,63.572398469324774,72.31746031746032,67.5296442687747,69.84159427695452,52.271600859078134,13.91045762431852,21.344787708574263,12.473153808029076,47.861271676300575,12.947976878612716,23.583815028901732,15.606936416184972,42.17997778052092,21.392420688803853,16.146154795704234,20.28144673497099,0.6657578638709702,0.638534832040786,0.6284775137901306,0.5075091575091575,0.6545549895115372,0.6876768716233599
3,67.27242689575417,72.44094488188976,79.81627966317937,75.94998178948646,61.040462427745666,67.51101321585902,74.43837279902854,70.80565983251516,64.48586594247624,73.94165387146305,66.6205533596838,70.09044599230688,51.676854452337686,15.595572443416488,19.659672889476294,13.067900214769534,47.24470134874759,13.795761078998073,22.736030828516377,16.223506743737957,41.612146648561904,22.873719293914334,14.664856190593753,20.84927786693001,0.6794305232962425,0.6533288936362878,0.6168211102485657,0.5010603431656064,0.6777045250224752,0.7125460938169969
4,67.53675863208326,80.60776942355889,65.65450369992345,72.36675573055828,57.88053949903661,71.60686427457098,55.73770491803278,62.68350973028338,64.68337242315764,75.21210731483605,64.82213438735178,69.63167391996605,42.50784734842227,25.028911283660992,10.226334049231786,22.23690731868495,35.3757225433526,22.504816955684007,14.026974951830443,28.092485549132952,40.48882853968646,24.194543883471177,13.34403160103691,21.972595975805458,0.6920823514732126,0.6876855105877537,0.6034068465232849,0.4964237516869095,0.7355159324742784,0.7933853586027498
5,69.58532958863374,75.66699604743083,78.15769328910437,76.89218024350447,60.578034682080926,68.75,69.45962355798422,69.1029900332226,64.7204048882854,75.34530386740332,64.68379446640317,69.6086771586559,50.603006773500745,18.982322815132992,16.27292251775979,14.141747893606476,44.08477842003853,16.493256262042387,20.03853564547206,19.383429672447015,40.40241945438835,24.31798543389705,13.220590050611037,22.05900506110357,0.6939688551586811,0.6773453476582804,0.6021767258644104,0.4998457682668209,0.7238912196583758,0.7263813852442614
6,73.8311581034198,78.39941620043786,82.24036744067365,80.27397260273975,62.23506743737958,69.08986834573555,73.28476017000607,71.12551561579257,68.43599555610419,73.37068160597572,77.64822134387352,75.44887181949112,53.24632413679168,20.584833966628118,14.670411366264663,11.498430530315545,46.51252408477842,15.722543352601157,20.809248554913296,16.955684007707127,48.500185162325636,19.935810393778546,17.602765090729537,13.961239353166278,0.7061529323228135,0.7007635814752957,0.5939878225326538,0.5290052053209948,0.7289731295574868,0.779064116856759
7,71.12175780604659,81.61957471599183,71.49783107935697,76.22415669205658,59.65317919075145,70.83333333333334,61.93078324225865,66.08357628765792,65.46105419084064,76.48711943793911,64.54545454545455,70.01071811361201,46.291095324632415,24.830662481414176,10.424582851478606,18.453659342474808,39.30635838150289,20.346820809248555,16.184971098265898,24.161849710982658,40.316010369090236,25.145043821750402,12.393531662757685,22.14541414640168,0.707120895846358,0.706449324699117,0.588506281375885,0.5241565452091768,0.7462322695035462,0.7889689277649143
8,75.21889971914753,80.73697585768743,81.06659862209747,80.90145148968678,61.618497109826585,69.93263931414575,69.33819064966606,69.6341463414634,67.76941118380448,75.22142121524202,72.17391304347827,73.66616238023198,52.48637039484553,22.732529324301996,12.52271600859078,12.258384272261688,44.00770712909441,17.61078998073218,18.921001926782274,19.460500963391137,45.08085421552895,22.688556968275524,14.850018516232563,17.380570299962965,0.7081045864619633,0.7114942735961844,0.5811936855316162,0.5367264314632736,0.7488481420437518,0.8143383929337107
9,75.43366925491492,79.89183874139626,82.92931870375095,81.38224614999375,62.042389210019266,68.93592677345538,73.16332726168791,70.98674521354933,67.31267744722874,74.54212454212454,72.3913043478261,73.45097252857428,53.69238394184702,21.741285313067902,13.51396001982488,11.052370725260202,46.4354527938343,15.606936416184972,20.92485549132948,17.032755298651253,45.21663992099741,22.09603752623133,15.442537958276755,17.244784594494504,0.6995195113423528,0.7068548086271709,0.5752943158149719,0.5731540389435127,0.7454144191389471,0.7957436469142155
