,Train SPEAR CORR score,Train SPEAR Pval score,Test SPEAR CORR score,Test SPEAR Pval score,Whole SPEAR CORR score,Whole SPEAR Pval score,Test ERROR score,Train ERROR score,Whole ERROR score
0,0.059802454,1.89E-10,0.053579072,0.014625807,0.052381771,9.43E-12,1.233248591,0.538062215,0.536441207
1,0.12983083,8.99E-44,-0.018997149,0.386969318,0.118317717,9.21E-54,0.147862047,0.073892646,0.07391417
2,0.173101974,6.62E-77,-0.04689309,0.032639899,0.159460229,1.10E-96,0.11703001,0.062389828,0.061708283
3,0.218657377,1.13E-122,0.103447387,2.32E-06,0.202543393,5.25E-156,0.093651421,0.05280219,0.052524369
4,0.211770474,5.15E-115,-0.041756471,0.05713981,0.196049036,4.26E-146,0.02874209,0.030011797,0.030041531
5,0.233658859,2.74E-140,0.0990521,6.14E-06,0.218365124,1.28E-181,0.019803094,0.030503724,0.030817991
6,0.269439888,1.26E-187,0.044696704,0.041718894,0.247695017,9.63E-235,0.023809319,0.026447104,0.026645362
7,0.274585351,4.54E-195,0.035795162,0.103000025,0.250733476,1.13E-240,0.018085537,0.027409349,0.027635444
8,0.252441681,3.46E-164,0.005909465,0.787857356,0.234160607,2.65E-209,0.024528526,0.034155812,0.034555718
9,0.25492037,1.70E-167,0.109914447,5.16E-07,0.235115198,4.80E-211,0.019788673,0.026898401,0.027178401
10,0.277133654,8.15E-199,0.140875046,1.14E-10,0.254130971,2.09E-247,0.01764481,0.026755834,0.026962589
11,0.306078644,3.05E-244,0.053383217,0.014991813,0.281991717,1.55E-306,0.016269796,0.026358219,0.026791649
12,0.330998799,9.79E-288,0.113708007,2.05E-07,0.301514662,0,0.01314711,0.024369607,0.024680801
13,0.272187652,1.40E-191,0.140723908,1.19E-10,0.251004499,3.30E-241,0.014538557,0.026054751,0.026420159
14,0.337451671,1.10E-299,0.114702401,1.60E-07,0.306395019,0,0.013198607,0.024436004,0.024757244
15,0.352885407,0,0.110867646,4.10E-07,0.321867605,0,0.012993434,0.023832133,0.024220739
16,0.348755857,0,0.096733515,1.01E-05,0.317346823,0,0.014808895,0.02400212,0.024388233
17,0.308475389,3.03E-248,0.072515733,0.000945003,0.282416152,1.71E-307,0.01479947,0.026172144,0.026657943
18,0.342888744,5.577892552199e-310,0.22568529,2.20E-25,0.310426686,0,0.012451605,0.023919646,0.024344964
19,0.339772384,4.70E-304,0.198943592,5.66E-20,0.309175586,0,0.013271999,0.02483096,0.025363389
