,training set Accuracy,development set Accuracy,test set Accuracy,test set True positive ratio,test set True negative ratio,test AUC score
0,65.95070422535211,66.59551760939168,62.33766233766234,59.523809523809526,2.813852813852814,0.5708325988600975
1,72.0774647887324,63.92742796157951,64.71861471861472,48.05194805194805,16.666666666666664,0.6508999745382612
2,73.62676056338027,64.78121664887941,65.80086580086581,49.134199134199136,16.666666666666664,0.6410286542491725
3,74.64788732394366,63.073639274279614,64.5021645021645,42.857142857142854,21.645021645021643,0.6659419864073486
4,78.59154929577464,63.39381003201707,64.06926406926407,41.99134199134199,22.07792207792208,0.6837456176430265
5,79.82394366197182,62.86019210245464,62.98701298701299,41.99134199134199,20.995670995670995,0.6432222809800812
6,82.1830985915493,63.073639274279614,61.904761904761905,38.095238095238095,23.809523809523807,0.6587735276259865
7,82.46478873239437,62.00640341515475,61.038961038961034,33.76623376623377,27.27272727272727,0.681414889241436
8,84.40140845070422,62.86019210245464,62.98701298701299,38.961038961038966,24.025974025974026,0.6726991401766652
9,82.78169014084507,61.15261472785486,60.82251082251082,35.93073593073593,24.891774891774894,0.6740701568834833
10,88.16901408450704,67.44930629669157,63.41991341991342,51.73160173160173,11.688311688311687,0.628846191511448
11,92.5,64.14087513340448,61.471861471861466,42.42424242424242,19.047619047619047,0.6710147482225748
12,90.98591549295774,68.51654215581644,62.98701298701299,51.94805194805194,11.03896103896104,0.6591456607321229
13,93.34507042253522,64.35432230522946,61.25541125541125,43.506493506493506,17.74891774891775,0.6595765516971228
14,95.7394366197183,65.10138740661687,60.82251082251082,43.290043290043286,17.532467532467532,0.6471590575239439
15,96.19718309859155,67.982924226254,62.77056277056276,46.96969696969697,15.800865800865802,0.6543666882112149
16,97.14788732394366,66.59551760939168,65.80086580086581,49.134199134199136,16.666666666666664,0.668958223162348
17,97.42957746478874,66.48879402347919,63.20346320346321,44.8051948051948,18.398268398268396,0.6574416828250779
18,97.7112676056338,65.10138740661687,63.20346320346321,43.93939393939394,19.264069264069263,0.6613588734159861
19,98.20422535211267,66.16862326574173,64.28571428571429,47.61904761904761,16.666666666666664,0.6481971130305345
20,98.3450704225352,65.20811099252934,60.17316017316018,43.073593073593074,17.0995670995671,0.6541708286816695
21,98.41549295774648,65.42155816435432,62.121212121212125,43.722943722943725,18.398268398268396,0.6648060011359852
22,98.38028169014085,64.67449306296692,62.98701298701299,43.290043290043286,19.696969696969695,0.6585972540493958
23,98.45070422535211,65.31483457844183,62.55411255411255,41.125541125541126,21.428571428571427,0.6705838572575749
24,98.59154929577466,67.2358591248666,64.06926406926407,47.4025974025974,16.666666666666664,0.6534069765164423
25,98.59154929577466,65.5282817502668,62.98701298701299,46.75324675324675,16.233766233766232,0.6576179564016686
26,98.59154929577466,65.5282817502668,61.68831168831169,43.073593073593074,18.614718614718615,0.6624948586873494
27,98.83802816901408,65.42155816435432,64.06926406926407,47.18614718614719,16.883116883116884,0.6552088841882602
28,98.38028169014085,63.92742796157951,62.55411255411255,40.476190476190474,22.07792207792208,0.660301231956441
29,98.87323943661971,65.84845250800427,62.77056277056276,46.75324675324675,16.017316017316016,0.6485692461366708
30,98.90845070422534,65.74172892209178,61.471861471861466,42.2077922077922,19.264069264069263,0.6468456822766712
31,99.04929577464789,68.19637139807898,64.06926406926407,47.18614718614719,16.883116883116884,0.6569716199541689
32,99.11971830985915,66.06189967982924,62.55411255411255,46.75324675324675,15.800865800865802,0.6463560334528076
33,99.11971830985915,67.66275346851654,64.93506493506493,49.78354978354979,15.151515151515152,0.6554243296707601
34,99.08450704225352,66.80896478121664,64.06926406926407,48.484848484848484,15.584415584415584,0.6570107918600779
35,99.15492957746478,67.44930629669157,65.80086580086581,51.73160173160173,14.06926406926407,0.6579705035548505
36,99.11971830985915,66.80896478121664,63.85281385281385,46.53679653679654,17.316017316017316,0.667508862643712
37,99.15492957746478,66.06189967982924,65.80086580086581,48.484848484848484,17.316017316017316,0.6515658969387156
38,99.01408450704226,64.78121664887941,61.904761904761905,45.23809523809524,16.666666666666664,0.637894901776446
39,99.08450704225352,64.56776947705443,62.98701298701299,47.18614718614719,15.800865800865802,0.6517225845623519
40,99.15492957746478,66.16862326574173,64.28571428571429,47.4025974025974,16.883116883116884,0.6598507550384864
41,99.15492957746478,66.80896478121664,63.41991341991342,47.18614718614719,16.233766233766232,0.6638267034882582
42,99.11971830985915,66.06189967982924,63.85281385281385,47.61904761904761,16.233766233766232,0.6594786219323503
43,99.15492957746478,67.66275346851654,64.93506493506493,49.35064935064935,15.584415584415584,0.6533482186575787
44,99.15492957746478,66.91568836712914,64.5021645021645,46.75324675324675,17.74891774891775,0.6685860900562117
45,99.11971830985915,68.08964781216649,64.28571428571429,48.917748917748916,15.367965367965366,0.6515952758681474
46,99.19014084507042,66.27534685165422,62.98701298701299,45.02164502164502,17.965367965367964,0.6681356131382573
47,98.41549295774648,63.39381003201707,61.471861471861466,41.34199134199134,20.12987012987013,0.6578725737900779
48,99.01408450704226,68.30309498399146,64.93506493506493,50.649350649350644,14.285714285714285,0.657304581154396
49,99.08450704225352,67.44930629669157,63.63636363636363,48.484848484848484,15.151515151515152,0.664796208159508
50,99.29577464788733,64.35432230522946,63.63636363636363,43.290043290043286,20.346320346320347,0.6738840903304149
